anchor_id,succ,Time_s
1,0.06818181818181818,0.5
1,0.25,1.0
1,0.3181818181818182,1.5
1,0.38636363636363635,2.0
1,0.4090909090909091,2.5
1,0.45454545454545453,3.0
1,0.45454545454545453,3.5
1,0.45454545454545453,4.0
1,0.45454545454545453,4.5
1,0.45454545454545453,5.0
1,0.45454545454545453,5.5
1,0.45454545454545453,6.0
2,0.027777777777777776,0.5
2,0.08333333333333333,1.0
2,0.2222222222222222,1.5
2,0.2222222222222222,2.0
2,0.2777777777777778,2.5
2,0.2777777777777778,3.0
2,0.2777777777777778,3.5
2,0.2777777777777778,4.0
2,0.2777777777777778,4.5
2,0.2777777777777778,5.0
2,0.2777777777777778,5.5
2,0.2777777777777778,6.0
