Якорь,"Число попыток, шт","Доля своевременных восстановлений, доля","Доля «уверенно неверно», доля","Доля превышений допуска по положению, доля","Доля превышений допуска по курсу, доля","Квантиль стоимости (уровень 0.90), м","Средняя стоимость в худшей части (уровень 0.90), м","Среднее время до принятия, с","Медиана времени до принятия, с"
1,44,0.45454545454545453,0.0,0.15,0.0,0.6744224463539774,0.7456332995873987,1.2337399696904585,0.9632448126883126
2,36,0.2777777777777778,0.0,0.3,0.3,2.944287145947272,2.944287145947272,1.243400436273292,1.1938315348465902
