anchor_id,session_id,y,m_fast,m_slow,degrade
1,1,0.6144984297438889,0.6144984297438889,0.6144984297438889,False
1,2,0.7661314659153626,0.7130599032553468,0.6448250369781836,False
1,3,0.7652321013500418,0.7469718320168985,0.6689064498525553,False
1,4,0.7831773160528264,0.7705053966402515,0.6917606230926094,False
1,5,0.8768908210634851,0.8396559225153534,0.7287866626867846,False
1,6,0.7895938237812028,0.8071155583381555,0.7409480949056683,False
1,7,0.6539933269954524,0.7075861079653984,0.7235571413236251,False
1,8,0.8027192568124121,0.7694226547159573,0.7393895644213825,False
1,9,0.7793959885330467,0.7759053216970654,0.7473908492437153,False
1,10,0.7743714688207953,0.7749083173274899,0.7527869731591313,False
1,11,0.9361382370627028,0.8797077651553783,0.7894572259398456,False
1,12,0.7568968803629156,0.7998806900402775,0.7829451568244596,False
2,1,0.6100994102146787,0.6100994102146787,0.6100994102146787,False
2,2,0.7293126664489528,0.6875880267669569,0.6339420614615335,False
2,3,0.638005403701464,0.6553593217743865,0.6347547299095196,False
2,4,0.7018792778642464,0.6855972932327954,0.648179639500465,False
2,5,0.7777086876958698,0.7454696996337937,0.6740854491395459,False
2,6,0.6995581339761683,0.7156271819563371,0.6791799861068704,False
2,7,0.729319601178157,0.72452725445052,0.6892079091211276,False
2,8,0.6589735232275002,0.6819173291555571,0.6831610319424022,False
2,9,0.5636138722715626,0.6050200821809606,0.6592516000082342,False
2,10,0.583823761844399,0.5912424739621955,0.6441660323754671,False
2,11,0.40578084071689213,0.4706924123527483,0.5964889940437521,False
2,12,0.2941233102179698,0.35592249596514225,0.5360158572785957,False
